expressao,significado_epoca,grau_certeza,localizacao,n_ocorrencias
perceito,"Preceito, mandamento. Metátese de /r/ sistemática nesta cópia, própria da fala vulgar e frequentemente registada como incorrecção por Bluteau",seguro,L0105; L0140; L0285,6
tromento,Tormento. Mesma metátese; forma corrente em textos populares e teatrais de setecentos,seguro,L0048; L0274,2
cubrantar,"Quebrantar, transgredir. Usado sempre com preceito por complemento, no sentido jurídico de violar a norma",seguro,L0127; L0130,3
prigar,"Perigar, correr risco de morte; e prigo por perigo. Vocalismo popular pré-tónico",seguro,L0113; L0304,3
molher,Mulher. Grafia corrente até ao século XIX; conservada por marcar o registo do copista,seguro,L0129; L0694,4
clausurar,"Recolher em clausura, no sentido monástico e não no moderno de encerramento genérico. Aplicado à arca de Noé, transporta o episódio bíblico para o vocabulário conventual português",seguro,L0292,1
pensões,"Encargos, tributos devidos — não rendimentos. A vida é dita como dívida a pagar, sentido divergente do actual",seguro,L0224,1
bexigas,"Varíola. Designação corrente da doença, aqui em anedota sobre a melancolia inglesa",seguro,L0254,1
valete de chambri,"Valet de chambre, criado de quarto. Galicismo cru que marca a moda cortesã da segunda metade de setecentos",seguro,L0264,1
Poltão,"Plutão, deformação cómica do nome do deus infernal, tratado como conhecido de sociedade",seguro,L0262; L0263,2
topete alto à Zamperina,"Penteado alto à moda de Anna Zamperini, cantora de ópera activa em Lisboa nos anos 1770. É o indício interno mais útil para a datação relativa do papel",provável,L0503-L0504,1
Cotovia,Bairro alto de Lisboa; a alusão às pedradas dos rapazes reduz o arrasamento de Betúlia a rixa de bairro,provável,L0570; L1086,2
sá,"Forma invariável por é ou está, traço central da convenção teatral da língua de preto, estabilizada no teatro português desde Gil Vicente",seguro,L0663; L1159,3
malufo,"Bebida fermentada; voz de origem africana, aplicada aqui ao vinho da despensa do general",provável,L0672; L0678,2
bangalé,Dança de negros praticada em Lisboa; termo do léxico festivo afro-lisboeta,provável,L1088,1
cristaleira,A que aplica clisteres. Injúria que reduz o corpo feminino envelhecido a função escatológica,seguro,L0654,1
Pantalisea,"Pentesileia, rainha das Amazonas. Comparação erudita na boca da criada, imediatamente desfeita pelo avental que se lhe segue",seguro,L0695,1
alguidar,Vasilha larga de barro para amassar ou lavar; medida hiperbólica da fome do criado,seguro,L0659,1
caganita,Excremento miúdo de gado miúdo; insulto de rua aplicado a Judite pelo Mestre-Sala,seguro,L0707-L0708,1
famelga,"Moça, rapariga, no calão marítimo de Lisboa. Registo baixo e afectuoso",provável,L0825; L0841,2
galério,"Chapéu de abas largas; peça do trajo popular masculino, aqui integrada na alegoria náutica do vestir",provável,L0841,2
alzibeira,"Algibeira, bolso. Metátese característica da fala popular lisboeta",seguro,L0841,1
embornais,Aberturas por onde a água escoa do convés; transferidas por metáfora para os buracos dos sapatos,seguro,L0841,1
balravento,"Barlavento, o lado de onde sopra o vento. Termo náutico aplicado ao modo de cingir a capa",seguro,L0841,1
ensárcias,"Enxárcias, o cordame que sustenta os mastros; aqui, parte do arranjo do trajo",seguro,L0841,1
trismalho,"Trasmalho, rede de três malhas; trocadilho com tresmalhar-se, perder-se",seguro,L0839,1
lanço,"Lance da rede e, simultaneamente, lance de leilão. O afecto é dito como transacção em que o falante não se deixa cobrir",seguro,L0833,1
despigo,"Despojo ou refugo do pescado, em jogo com despicar-se, vingar-se. Paronomásia técnico-afectiva",provável,L0821-L0822,2
"arraias, safios e caxuxos","Espécies da pesca da costa portuguesa — raia, congro e caxuxo. Inventário que serve de prova de amor",seguro,L0818,1
mal cozinhado,"Casas de comida barata da Ribeira de Lisboa, junto ao Terreiro do Paço",seguro,L0841,1
praia d'Alfamia,"Alfama, bairro ribeirinho dos pescadores; praia designa aqui a frente de rio, não areal balnear",seguro,L0818,1
Penha,"Penha de França, romaria suburbana de Lisboa e destino corrente de merenda em dia de folga",provável,L0818,1
chafurdando,"Andar na lama, trabalhar sujo. Usado a propósito da máquina cénica do dilúvio, em queixa metateatral",seguro,L0818,1
adufe,"Pandeiro quadrado de origem mourisca, instrumento próprio das folias natalícias peninsulares",seguro,L0816,1
cachopa,"Rapariga, moça. Regionalismo do Norte e das Beiras, adequado ao tipo cómico do galego",seguro,L1141,1
esfolar,"Esfolar reses; ofício pesado atribuído por convenção cómica ao galego, como o carreto",provável,L1182,1
frete,"Carreto, transporte pago; e, por extensão de calão, serviço ou proveito. Ambos os sentidos activos na altercação final",provável,L1148; L1180,2
àque del rei,"Acuda-me el-rei — grito de socorro em via pública, fórmula fixa de apelo à justiça régia",seguro,L1110; L1186,3
pau do Brasil,Madeira dura de tinturaria vinda da colónia; serve de equívoco obsceno a partir do adjectivo rija,seguro,L0871,1
romendão,"Remendão: músico ou artífice de má qualidade, em jogo com remendo de costura",provável,L0875,2
charola,Andor de procissão; cantar os passos da charola é actuar nas procissões da Quaresma,provável,L1063,1
goloseis,"Glosar, desenvolver um mote em verso. Forma popular do termo técnico da poesia de sociedade",provável,L1114,1
bribiário,"Breviário, livro das horas canónicas. Deformação que caracteriza a distracção amorosa do clérigo",seguro,L0977,1
almário,"Armário. Metátese popular, usada aqui para o bathos final do soneto",seguro,L0982,1
gorgomilos,"Goelas, gargantas. Termo baixo inserido em período de estilo cultista, para denunciar a impostura do ornamento",seguro,L0958,1
