id,tipo_recurso,citacao,localizacao,personagem,interpretacao
R001,anáfora,"Eu não sou a quem a devidade in tempore formou, aos mais unidos, eu não sou o maior dos escolhidos",L0027-L0029,Luzbel,A soberba formula-se por negação repetida: Luzbel define-se recusando o lugar que lhe foi dado. A anáfora instala desde o primeiro verso o tema da comparação com o alto que atravessa toda a peça.
R002,hipérbole,ao sólio subirei no mesmo instante ocupando da glória o sacro assento,L0039-L0040,Luzbel,"A instantaneidade («no mesmo instante») mede a desmedida: a usurpação é imaginada sem processo nem mediação, o que a torna teologicamente absurda antes de ser punida."
R003,comparação,para em tudo ficar seu similante,L0041,Luzbel,"Semelhança pretendida por conquista. Ecoa por antecipação a semelhança concedida a Adão em L0092, invertendo-lhe o sinal: o que é dom na criatura é roubo no anjo."
R004,apóstrofe,Suspende o temerário pensameNto,L0045,São Miguel,"O soneto de resposta abre com imperativo directo, sem exórdio. A justiça divina é encenada como interrupção, não como argumento."
R005,metáfora,desde já te sepulta no tromento,L0048,São Miguel,Sepultura aplicada a um ser incorpóreo: a pena espiritual é dita em vocabulário funerário para se tornar representável em cena.
R006,antítese,e no horrendo lugar da escuridade fromará em prepétuo o teu assento,L0052-L0053,São Miguel,Contraponto exacto ao «sacro assento» de L0040. A mesma palavra ocupa os dois extremos do eixo alto/baixo que organiza o auto.
R007,personificação,e as entranhas da terra feia e escura sepulte para sempre esse maldito,L0060-L0061,São Miguel,A terra ganha entranhas e vontade punitiva. Prepara a terra hostil de Caim (L0248) e a terra regada de lágrimas de Adão (L0162).
R008,metáfora,Desterrem-se as trevas que em sombras revestem a orbe,L0065,Padre Eterno,Criação dita em vocabulário jurídico-político: o desterro é pena de degredo. A ordem do mundo é imaginada como acto de soberania régia.
R009,anáfora,Produza a terra todas as plantas e árvores... Produza o mar a competente criação de toda a diversidade de peixes... Produzam-se todos os animais segundo a ordem natural,L0082-L0087,Padre Eterno,"A repetição do verbo escande a sequência criadora e serve de deixa às mutações de cenário anunciadas nas didascálias, articulando retórica e tramoia."
R010,comparação,façamos o homem à nossa imagem e semelhança,L0092,Padre Eterno,"Fórmula bíblica conservada intacta; funciona como termo de comparação estruturante a que Luzbel (L0041) e, mais tarde, a soberba de Olofernes se opõem."
R011,metáfora,Na tua face deposito uma espiritual essência da vida,L0097,Padre Eterno,"O sopro divino é dito como depósito — termo de guarda e de confiança, que implica devolução e prepara a lógica do preceito."
R012,comparação,façamos um adjutório semelhante a ele,L0100,Padre Eterno,Eva é introduzida por semelhança e subordinação simultâneas; o termo «adjutório» fixa desde a criação a hierarquia que a sentença de L0132 tornará explícita.
R013,alegoria,esta é a Árvore da ciência onde donde oculto o conhicimento do bem e do mal,L0105,Padre Eterno,O saber moral é figurado como fruto guardado. A alegoria dá corpo cénico a uma proibição abstracta e torna-a representável num único objecto.
R014,ironia,De nenhum modo comendo dela podereis prigar na vida,L0113,Serpente,"A tentação opera por negação enfática do que é verdadeiro. É a primeira das falas enganosas da peça, série que continua no Diabo cómico e se inverte na dissimulação virtuosa de Judite."
R015,personificação,não sei o que me vaticina o coração,L0119,Adão,"O coração profetiza: o pressentimento é externalizado num órgão que fala. Adão adivinha a culpa antes de a cometer, o que agrava a transgressão."
R016,metáfora,como réu da culpa me escondi,L0127,Adão,"Vocabulário forense aplicado à consciência. A queda é imediatamente traduzida em processo judicial, registo que domina toda a intervenção do Padre Eterno."
R017,enumeração,"naçarás filho algum sem empulsos de dores, será sojeita aos perceitos do homem, e debaixo do seu domínio vivirás",L0132,Padre Eterno,"Três encargos acumulados sobre Eva: dor, sujeição e domínio. A hierarquia doméstica setecentista é aqui enunciada como sentença divina, e é a passagem de maior densidade social do primeiro terço."
R018,hipérbole,sarás a mais desgraçada entre todas as feras,L0132,Padre Eterno,"Superlativo absoluto que fixa a serpente no fundo da escala dos viventes, completando por baixo a hierarquia que a criação estabelecera por cima."
R019,metáfora,em copioso suor do teu rosto ganharás o pão té que te convertas em terra,L0135,Padre Eterno,"O trabalho é dito em imagem circular: o homem vem da terra, alimenta-se dela e volta a ela. A metáfora agrícola torna-se, no lamento seguinte, a do pranto que rega."
R020,personificação,sintirás as paixões que o mundo ilaça,L0141,Anjo,O mundo enlaça como caçador. A expulsão não é apenas espacial: entrega o homem a um agente activo e hostil.
R021,personificação,vai que o mundo te dará o desengano,L0144,Anjo,O mundo torna-se preceptor moral. A oitava fecha o passo com uma sentença de sabor barroco — o desengano como forma de conhecimento.
R022,metáfora,desfaze-te em puro pranto para lavar teu defeito,L0148,Adão,"O choro como água baptismal antecipada. A penitência é figurada em operação de limpeza, isotopia que percorre toda a lamentação."
R023,hipérbole,se não lançar pelos olhos lágrimas de cento a cento,L0151-L0152,Eva,A contagem das lágrimas transforma a dor em quantidade. O exagero numérico é o registo próprio da lamentação cantada deste passo.
R024,hipérbole,Enquanto tivermos vida seja o nosso pranto eterno,L0159-L0160,Adão,"Fala conjunta de Adão e Eva («Ambos»). A eternidade do pranto mede-se pela duração da vida: a hipérbole é, na verdade, uma definição da condição humana pós-lapsária."
R025,metáfora,"Chora regando essa terra Adão, com lágrimas puras",L0162-L0163,Adão,"O pranto converte-se em rega e a penitência em lavoura, ligando directamente a pena do trabalho (L0135) à pena da dor. É a metáfora mais bem integrada do passo."
R026,antítese,pois pusestes fim ao bem por dares prencípio ao mal,L0169-L0170,Adão,"Quiasmo perfeito entre fim/princípio e bem/mal. A auto-acusação assume forma de sentença moral memorizável, própria da glosa cantada."
R027,apóstrofe,Sofre terra o golpe irado pois sendo a que me formaste fostes a mesma que brotastes fruto para o meu pecado,L0178-L0181,Adão,"Adão interpela a terra como cúmplice: matéria da sua origem e do seu crime. A apóstrofe desloca parcialmente a culpa para a criação, movimento que o texto não corrige."
R028,antítese,pois tantos séculos de graça por um bocado a perdi,L0193-L0194,Adão,"Desproporção entre séculos e bocado: a antítese quantifica a queda e é, das formulações do passo, a que melhor condensa a doutrina."
R029,antítese,que de Deus a imensa graça é maior que o teu pecado,L0204-L0205,Adão,"Contra-antítese consoladora que responde à anterior. As duas juntas desenham o arco teológico completo — culpa desmedida, misericórdia maior — que a peça só cumprirá em Belém."
R030,enumeração,"poi são as pensões da vida: morrer, sentir e chorar",L0224-L0225,Adão,"Fala conjunta de Adão e Eva. «Pensão» tem aqui o valor coevo de encargo ou tributo devido, não o moderno de rendimento: a vida é dita como dívida a pagar em três prestações."
R031,anáfora,Que podemos conseguir depois de pecado ter? Coro: Morrer.,L0214-L0216,Coro,"O Coro responde com uma palavra a cada pergunta (Morrer / Sentir / Chorar). O destino é encenado como eco: não se argumenta, repete-se — e as três respostas são depois recolhidas no dístico final."
R032,antítese,"tu fertilizas os campos com grandes rabanhos, o meu gado cada vez mais se deminuem, e o teu se aumenta",L0233,Caim,"A inveja nasce de uma comparação contabilística. A antítese entre aumentar e diminuir é o motor do fratricídio e reencena, em escala doméstica, a comparação soberba de Luzbel."
R033,ironia,acaso julgas-te mais saprior qu'eu?,L0237,Caim,Pergunta retórica que atribui ao irmão a soberba de que o próprio Caim está possuído. A projecção é o mecanismo psicológico que o texto expõe sem o nomear.
R034,metáfora,"sou escravo do senhor, e mais não sei",L0238,Abel,"A obediência define-se por servidão voluntária e por recusa de saber. Abel é o contrário exacto da Serpente, que prometia conhecimento (L0113)."
R035,eufemismo,com a tua morte porarei fim a tantos cuidados,L0239,Caim,"O homicídio é dito como alívio administrativo. O eufemismo tem gémeo exacto na boca de Judite (L0689-L0690), simetria que a peça não comenta."
R036,personificação,"serva-te de castigo a mesma terra, que andando por ela fugitivo nem ela mesma te empare nem eu jamais te secorra",L0248,Padre Eterno,"A terra passa de mãe a carcereira. Completa a série iniciada em L0060 e prepara a imagem seguinte, em que Caim pede à mesma terra que se abra."
R037,hipérbole,Ainda a terra não se abre em diferentes bocas para somergir este desesperado,L0253,Caim,A terra ganha bocas: o desespero pede a punição que lhe foi negada. A hipérbole marca a passagem do registo trágico ao entremez que se lhe segue.
R038,comparação,"Eu entendo que vossa mercê é como os engleses, que em lhe dando bexigas querem-se enterrar vivos",L0254,Diabo,"Comparação anacrónica que muda o registo da peça de um golpe: o desespero bíblico é reclassificado como melancolia inglesa, tópico corrente na Europa setecentista."
R039,ironia,"Engana-se, que eu cantei bem nos meus tempos",L0256,Diabo,O Diabo responde à repulsa com vaidade de cantor. A auto-ironia humaniza-o e é precisamente o que o torna eficaz como tentador.
R040,provérbio,não tenha medo que o diabo não é tão feio como o pintam,L0258,Diabo,O Diabo cita o provérbio que existe sobre si próprio. O efeito metalinguístico é o achado cómico do passo e desactiva a iconografia do medo que a cena acabara de montar.
R041,anacronismo,Venha comigo que lhe quero dar uma sala onde tome chá com o meu amigo Poltão,L0262,Diabo,"O Inferno como sala de visitas com chá servido. Plutão, deformado em Poltão, torna-se anfitrião mundano: o mal apresenta-se por convite de sociabilidade, não por ameaça."
R042,anacronismo,o tomei por valete de chambri que costuma servir aos hóspades,L0264,Diabo,"A corte infernal organiza-se como casa nobre lisboeta, com criadagem hierarquizada. O galicismo cru marca a moda cortesã da segunda metade de setecentos."
R043,antítese,"o céu me falta, a terra não me ampara",L0272,Caim,Suspensão entre dois recursos negados. A oitava de Caim fecha o passo com a formulação mais concisa do desamparo em toda a peça.
R044,apóstrofe,chovam já desses céus emensos raios,L0276,Caim,"Invocação do castigo como desafio. A chuva de raios contrasta, por antecipação, com a chuva de bênção que fechará o passo de Noé (L0307)."
R045,metáfora,O mundo flutua em um lago de tropezas,L0285,Padre Eterno,Metáfora aquática que anuncia literalmente o dilúvio: o pecado é já água antes de a água ser castigo. É a prolepse mais elegante do papel.
R046,apóstrofe,Oh quem podera satisfazer aos pecados de todos para que ficássemos salvos de tanta ruína,L0286,Noé,"Desejo formulado como pergunta impossível. No plano da compilação, é uma prefiguração explícita da Redenção que o Passo dos Pastores virá celebrar."
R047,metáfora,samos mandados clausurar em uma arca,L0292,Noé,"«Clausurar» tem aqui o valor de clausura monástica, não o moderno de encerramento genérico: a arca é lida como convento, e a salvação como recolhimento regrado."
R048,metáfora,Receba a terra o ósculo de paz,L0305,Noé,"Fala colectiva («Todos»). O gesto litúrgico da paz é transferido para a terra emersa, transformando o fim do dilúvio em cerimónia de reconciliação."
R049,metáfora,Já que ficamos livres da ruína a bênção chova em nós da mão divina,L0307,Noé,Fala colectiva. A mesma imagem — chuva — que fora instrumento de destruição torna-se veículo de graça. A inversão fecha o passo com economia notável.
R050,comparação,"Capitães valerosos cujos peitos excedem ao de Martem, heróim invicto",L0326-L0327,Olofernes,"O termo de comparação é mitológico e pagão, adequado ao tirano assírio. Contrasta deliberadamente com as comparações domésticas dos passos cómicos."
R051,metáfora,esforçai o valor bramindo a lança,L0328,Olofernes,O bramido pertence ao animal e é transferido para a arma. A guerra é figurada como som antes de ser acção — coerente com um tirano que vence sobretudo por discurso.
R052,hipérbole,morram todos e não fiquem nenhum vivos,L0344,Olofernes,Pleonasmo hiperbólico que expõe a desmedida pela própria redundância sintáctica. O excesso da ordem está no excesso da frase.
R053,antítese,esquecida a paixão para a piedade té se rompam os sagrados idifícios,L0355-L0356,Olofernes,A paixão é convocada para a destruição e esquecida para a clemência. A antítese define o tirano por aquilo que decide não sentir.
R054,metáfora,Com a espada morram o braço armado o coração vestido de bravura,L0368-L0369,1.º Capitão,O coração veste-se como um corpo. O soneto a dois vozes dos capitães faz da obediência militar uma forma métrica: o encaixe das réplicas é a imagem da disciplina.
R055,hipérbole,rotas as pedras se veja destruída não se deixe vivente algum com vida,L0405-L0406,Olofernes,Destruição total declarada em dois planos — mineral e vivo. A acumulação prepara a tríade final de L0435.
