personagem,funcao_dramatica,simbologia
Padre Eterno,"Criador, legislador e juiz; estrutura todo o primeiro terço por preceito e sanção","A ordem como palavra eficaz: cada fala sua é seguida de uma mutação de cenário, de modo que a omnipotência se traduz materialmente em tramoia"
Luzbel,Antagonista inaugural; abre a peça com o soneto da revolta,"Soberba como erro de medida; a semelhança com Deus pretendida por usurpação, em espelho invertido da semelhança concedida a Adão"
São Miguel,"Executor da sentença divina, em soneto simétrico ao de Luzbel",A justiça como interrupção imediata e proporcional; a palavra que repõe a ordem que outra palavra tentara subverter
Adão,"Criatura, transgressor e penitente; passa da prosa ao verso depois da queda",O homem como sujeito da culpa e da esperança; a sua penitência antecipa a Redenção que só Belém cumprirá
Eva,Interlocutora da Serpente e primeira transgressora; co-protagonista da lamentação,"Recebe a maldição socialmente mais pesada do papel (dor, sujeição, domínio); a hierarquia doméstica setecentista dita como sentença divina"
Serpente,Tentadora; opera por pergunta antes de negar,A palavra que engana pela forma; primeira de uma série de enganadores que continua no Diabo e se inverte na dissimulação virtuosa de Judite
Anjo,Mensageiro celeste; expulsa do Paraíso em oitava e anuncia o Natal em oitava,A mesma voz e a mesma estrofe fecham o arco que abriram: o desengano do mundo e a convocação a Belém são as duas pontas da peça
Coro,Voz colectiva sentenciosa; responde com uma palavra a cada pergunta de Adão e Eva,"O destino como eco — aquilo que não se argumenta, apenas se repete"
Abel,Vítima do fratricídio; modelo de obediência que não pergunta,"A submissão devota como recusa de saber, contraposta ponto por ponto à curiosidade que perde Caim"
Caim,Fratricida; repete em escala humana o gesto de Luzbel,"O desespero que recusa até o amparo; única figura trágica a quem a peça retira a dignidade, entregando-a a um entremez"
Diabo,Tentador cómico; primeira grande ruptura de registo do papel,"O mal domesticado em mundanidade lisboeta — com chá, criadagem e visitas — e por isso mais perigoso do que o mal terrível"
Noé,Obediente exemplar; o seu passo é o mais breve e menos dramatizado,A arca lida como clausura monástica: a salvação figurada como recolhimento regrado
Sem,Filho de Noé; função coral de agradecimento,A obediência filial como forma de piedade colectiva
Jafé,Filho de Noé; reparte com Sem o agradecimento,"A gratidão repartida por vozes, que converte a salvação individual em rito de família"
Olofernes,"Tirano assírio; antagonista de escala política, o único do papel","O poder como excesso de linguagem: a sua ameaça é pura potência verbal, desmentida por uma mulher e um jantar"
Judite,Protagonista do passo mais longo; agente único da reviravolta,"Mulher forte que decapita o tirano; leitura tipológica tradicional como prefiguração de Maria, o que explica a sua presença num presépio"
Sacerdote,Autoridade religiosa que legitima a acção de Judite e a devolve à liturgia,Converte iniciativa individual em causa colectiva; a fé como armadura que autoriza a violência
Mestre-Sala,Gracioso do passo de Olofernes; comenta e desmonta toda a acção séria,O criado que vê o senhor por dentro; é por ele que o sublime bíblico é continuamente rebaixado à rua de Lisboa
Velha,Criada de Judite; cúmplice no plano sério e adversária do Mestre-Sala no cómico,A velhice popular como língua solta e corpo desqualificado; produz o maior bathos do papel ao saudar Judite como Pentesileia e logo lhe pedir o avental
Volante,Arauto; leva o ultimato e traz a recusa,A brevidade da sua função sublinha que a guerra já estava decidida antes de ser anunciada
1.º Capitão,Coro militar; fala um soneto a dois com o companheiro,A obediência armada como forma métrica: o encaixe das réplicas é a imagem da disciplina
2.º Capitão,Coro militar; completa os quartetos e tercetos do companheiro,A intercambialidade das vozes como figura da tropa — nenhum dos dois tem traço próprio
Preto (criado de Olofernes),Cozinheiro; nega sucessivamente ao Mestre-Sala tudo o que ele pede,A escassez vista de baixo e a hierarquia entre criados; fala na convenção teatral da língua de preto
Soldado,Descobre o corpo de Olofernes e desencadeia o desfecho,A autoridade militar reduzida a testemunha tardia do que já aconteceu
Alceto,Pastor; abre a adoração oferecendo os seus bens,A dádiva medida pela capacidade e não pelo valor; nome de tradição arcádica que o separa dos rústicos cómicos
Anfriso,Pastor; oferece a própria pobreza,O pobre que se apresenta como oferta — inversão da lógica do dom que sustenta a doutrina do presépio
Amador,Pastor; oferece o louvor contínuo,"A totalidade temporal da devoção, resposta à totalidade material oferecida por Alceto"
Florindo,Pastor; formula a doutrina no fecho da adoração,A síntese teológica posta na boca do último e mais humilde: o mal termina onde o bem nasce
Manuel Gonçalves,"Pescador; solo cómico autónomo, provavelmente a parte de actor anunciada no passo de Noé",A Lisboa ribeirinha entra na peça pela boca de quem a trabalha; a sua queixa metateatral sobre a máquina da arca liga o entremez ao passo bíblico
Chantre,Clérigo enamorado da prima freira; protagonista e alvo principal da sátira do último passo,"O freirático — o eclesiástico que faz da grade do convento salão de galanteio; fala em soneto quando quer ser levado a sério, o que o torna duplamente ridículo"
Freira,"Prima do Chantre; sustenta a cena, pede o canto, distribui as vezes",A clausura como espaço de sociabilidade mundana; não é censurada pelo texto — o riso recai sobre os homens que a cortejam
Doutor,Médico; comentador satírico universal e motor cómico do passo,"O saber como impostura verbal: parodia o silogismo escolástico, o estilo cultista e a própria medicina"
Galego,Criado do Chantre; traz três vezes a má notícia com urgência crescente,"Tipo cómico fixo do teatro português: servil, de fala regionalizada e associado aos ofícios pesados"
Rodeira,Irmã da roda; medeia o acesso à grade do convento,O guarda da clausura que na prática a franqueia; recebe do Doutor o insulto mais fino do papel
Preto (vendedor de cacau),Vendedor ambulante; entra com a mercadoria colonial e fica para a glosa,"A presença negra urbana em Lisboa, tratada pela convenção cómica mas com uma consciência explícita de condição que o texto abre e não apaga"
